OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus
Otu00125	1	0.626528894776377	0.001	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
Otu00128	1	0.69556485109173	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu00136	1	0.616883863187218	0.014	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcales_unclassified	Myxococcales_unclassified
Otu00158	1	0.634636423864692	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu00165	1	0.631657335792231	0.027	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura
Otu00170	1	0.620522210483313	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu00172	1	0.667753569973036	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00187	1	0.579701267728524	0.036	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Rugosimonospora
Otu00202	1	0.688829239219251	0.001	Bacteria	candidate_division_WPS-1	candidate_division_WPS-1_unclassified	candidate_division_WPS-1_unclassified	candidate_division_WPS-1_unclassified	candidate_division_WPS-1_unclassified
Otu00211	1	0.618392740149978	0.005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae_unclassified
Otu00212	1	0.741529826962102	0.001	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified
Otu00214	1	0.642817883759554	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Otu00219	1	0.576920032473567	0.007	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00227	1	0.822436792310003	0.001	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu00232	1	0.602855626388583	0.002	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
