"","BarcodeID","Study","Microbe_TRT","Water_TRT","REP","Date","Date2","Source","TRT_row","AbovegroundBiomass","RootBiomass","otu_sample"
"SMM_26","515rcbc95","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","8",0.7,0.8,50793
"SMM_27","515rcbc96","SMM",NA,NA,NA,"7/13/23","2_July13","bulk","9",1.04,0.32,34177
"SMM_28","515rcbc97","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","1",NA,NA,53798
"SMM_29","515rcbc98","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","2",NA,NA,37957
"SMM_30","515rcbc99","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","3",NA,NA,52026
"SMM_31","515rcbc100","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","4",NA,NA,45154
"SMM_32","515rcbc101","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","5",NA,NA,39640
"SMM_33","515rcbc102","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","6",NA,NA,57671
"SMM_34","515rcbc103","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","7",NA,NA,41000
"SMM_35","515rcbc104","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","8",NA,NA,46319
"SMM_36","515rcbc105","SMM",NA,NA,NA,"7/13/23","2_July13","rhiz","9",NA,NA,46447
"SMM_37","515rcbc106","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","1",3.025,0.316,35330
"SMM_38","515rcbc107","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","2",4.392,1.894,42991
"SMM_39","515rcbc108","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","3",3.942,3.069,45728
"SMM_40","515rcbc109","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","4",2.353,1.762,45018
"SMM_41","515rcbc110","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","5",1.546,1.76,38178
"SMM_42","515rcbc111","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","6",4.153,2.291,41602
"SMM_43","515rcbc112","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","7",1.145,0.811,42815
"SMM_44","515rcbc113","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","8",3.471,4.057,54263
"SMM_45","515rcbc114","SMM",NA,NA,NA,"10/5/23","3_Oct5","bulk","9",0.83,2.002,20182
"SMM_46","515rcbc115","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","1",NA,NA,41348
"SMM_47","515rcbc116","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","2",NA,NA,41826
"SMM_48","515rcbc117","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","3",NA,NA,33600
"SMM_49","515rcbc118","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","4",NA,NA,34296
"SMM_50","515rcbc119","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","5",NA,NA,37329
"SMM_51","515rcbc120","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","6",NA,NA,44469
"SMM_52","515rcbc121","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","7",NA,NA,33093
"SMM_53","515rcbc122","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","8",NA,NA,83384
"SMM_54","515rcbc123","SMM",NA,NA,NA,"10/5/23","3_Oct5","rhiz","9",NA,NA,49935
