Sample_ID,BarcodeID,Study,Microbe_TRT,Water_TRT,REP,Date,Date2,Source,TRT_row,AbovegroundBiomass,RootBiomass
PSM_44,515rcbc44,PSM,CONTROL,FRESH,4,NA,NA,NA,NA,0.06,0.057
PSM_45,515rcbc45,PSM,CONTROL,FRESH,5,NA,NA,NA,NA,1.34,0.813
PSM_46,515rcbc46,PSM,CONTROL,FRESH,6,NA,NA,NA,NA,3.06,0.621
PSM_47,515rcbc47,PSM,CONTROL,FRESH,7,NA,NA,NA,NA,2.74,0.256
PSM_48,515rcbc48,PSM,CONTROL,FRESH,8,NA,NA,NA,NA,0.22,0.065
PSM_49,515rcbc49,PSM,CONTROL,FRESH,9,NA,NA,NA,NA,3.88,1.937
PSM_50,515rcbc50,PSM,CONTROL,FRESH,10,NA,NA,NA,NA,5.78,1.882
PSM_52,515rcbc52,PSM,CONTROL,SALT,2,NA,NA,NA,NA,1.72,0.583
PSM_53,515rcbc53,PSM,CONTROL,SALT,3,NA,NA,NA,NA,1.96,0.187
PSM_54,515rcbc54,PSM,CONTROL,SALT,4,NA,NA,NA,NA,2.24,0.357
PSM_55,515rcbc55,PSM,CONTROL,SALT,5,NA,NA,NA,NA,3.38,2.048
PSM_56,515rcbc56,PSM,CONTROL,SALT,6,NA,NA,NA,NA,2.5,0.37
PSM_57,515rcbc57,PSM,CONTROL,SALT,7,NA,NA,NA,NA,2.78,1.546
PSM_58,515rcbc58,PSM,CONTROL,SALT,8,NA,NA,NA,NA,5.18,1.934
PSM_59,515rcbc59,PSM,CONTROL,SALT,9,NA,NA,NA,NA,3.76,1.122
PSM_60,515rcbc60,PSM,CONTROL,SALT,10,NA,NA,NA,NA,2.7,0.231
PSM_61,515rcbc61,PSM,seedling_plug,BASELINE,1,NA,NA,NA,NA,NA,NA
PSM_62,515rcbc62,PSM,seedling_plug,BASELINE,2,NA,NA,NA,NA,NA,NA
PSM_63,515rcbc63,PSM,seedling_plug,BASELINE,3,NA,NA,NA,NA,NA,NA
PSM_64,515rcbc64,PSM,field_soil,BASELINE,1,NA,NA,NA,NA,NA,NA
PSM_65,515rcbc65,PSM,autoclaved_field_soil,BASELINE,1,NA,NA,NA,NA,NA,NA
PSM_66,515rcbc66,PSM,Microbe_pos,BASELINE,1,NA,NA,NA,NA,NA,NA
PSM_67,515rcbc67,PSM,Microbe_neg,BASELINE,1,NA,NA,NA,NA,NA,NA
PSM_68,515rcbc68,PSM,CONTROL,BASELINE,1,NA,NA,NA,NA,NA,NA
SMM_01,515rcbc70,SMM,NA,NA,NA,6/12/23,1_June12,bulk,1,0.38,0.32
SMM_02,515rcbc71,SMM,NA,NA,NA,6/12/23,1_June12,bulk,2,0.34,0.16
SMM_03,515rcbc72,SMM,NA,NA,NA,6/12/23,1_June12,bulk,3,1.14,1.08
SMM_04,515rcbc73,SMM,NA,NA,NA,6/12/23,1_June12,bulk,4,0.66,0.36
SMM_05,515rcbc74,SMM,NA,NA,NA,6/12/23,1_June12,bulk,5,0.68,0.76
SMM_06,515rcbc75,SMM,NA,NA,NA,6/12/23,1_June12,bulk,6,1.24,0.78
SMM_07,515rcbc76,SMM,NA,NA,NA,6/12/23,1_June12,bulk,7,0.5,0.2
SMM_08,515rcbc77,SMM,NA,NA,NA,6/12/23,1_June12,bulk,8,0.62,0.22
SMM_09,515rcbc78,SMM,NA,NA,NA,6/12/23,1_June12,bulk,9,0.92,0.16
SMM_10,515rcbc79,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,1,NA,NA
SMM_11,515rcbc80,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,2,NA,NA
SMM_12,515rcbc81,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,3,NA,NA
SMM_13,515rcbc82,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,4,NA,NA
SMM_14,515rcbc83,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,5,NA,NA
SMM_15,515rcbc84,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,6,NA,NA
SMM_16,515rcbc85,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,7,NA,NA
SMM_17,515rcbc86,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,8,NA,NA
SMM_18,515rcbc87,SMM,NA,NA,NA,6/12/23,1_June12,rhiz,9,NA,NA
SMM_19,515rcbc88,SMM,NA,NA,NA,7/13/23,2_July13,bulk,1,0.48,0.46
SMM_20,515rcbc89,SMM,NA,NA,NA,7/13/23,2_July13,bulk,2,0.76,0.66
SMM_21,515rcbc90,SMM,NA,NA,NA,7/13/23,2_July13,bulk,3,0.12,0.06
SMM_22,515rcbc91,SMM,NA,NA,NA,7/13/23,2_July13,bulk,4,0.42,0.5
SMM_23,515rcbc92,SMM,NA,NA,NA,7/13/23,2_July13,bulk,5,0.14,0.52
SMM_24,515rcbc93,SMM,NA,NA,NA,7/13/23,2_July13,bulk,6,1.4,0.88
SMM_25,515rcbc94,SMM,NA,NA,NA,7/13/23,2_July13,bulk,7,1.94,0.78
SMM_26,515rcbc95,SMM,NA,NA,NA,7/13/23,2_July13,bulk,8,0.7,0.8
SMM_27,515rcbc96,SMM,NA,NA,NA,7/13/23,2_July13,bulk,9,1.04,0.32
SMM_28,515rcbc97,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,1,NA,NA
SMM_29,515rcbc98,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,2,NA,NA
SMM_30,515rcbc99,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,3,NA,NA
SMM_31,515rcbc100,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,4,NA,NA
SMM_32,515rcbc101,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,5,NA,NA
SMM_33,515rcbc102,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,6,NA,NA
SMM_34,515rcbc103,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,7,NA,NA
SMM_35,515rcbc104,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,8,NA,NA
SMM_36,515rcbc105,SMM,NA,NA,NA,7/13/23,2_July13,rhiz,9,NA,NA
SMM_37,515rcbc106,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,1,3.025,0.316
SMM_38,515rcbc107,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,2,4.392,1.894
SMM_39,515rcbc108,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,3,3.942,3.069
SMM_40,515rcbc109,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,4,2.353,1.762
SMM_41,515rcbc110,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,5,1.546,1.76
SMM_42,515rcbc111,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,6,4.153,2.291
SMM_43,515rcbc112,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,7,1.145,0.811
SMM_44,515rcbc113,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,8,3.471,4.057
SMM_45,515rcbc114,SMM,NA,NA,NA,10/5/23,3_Oct5,bulk,9,0.83,2.002
SMM_46,515rcbc115,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,1,NA,NA
SMM_47,515rcbc116,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,2,NA,NA
SMM_48,515rcbc117,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,3,NA,NA
SMM_49,515rcbc118,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,4,NA,NA
SMM_50,515rcbc119,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,5,NA,NA
SMM_51,515rcbc120,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,6,NA,NA
SMM_52,515rcbc121,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,7,NA,NA
SMM_53,515rcbc122,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,8,NA,NA
SMM_54,515rcbc123,SMM,NA,NA,NA,10/5/23,3_Oct5,rhiz,9,NA,NA
